"Name","Enabled","CanonicalName","LockedOut","SmartCardLogonRequired","Created","Modified","LastLogonDate","LastBadPasswordAttempt","BadLogonCount","PasswordExpired","PasswordNeverExpires","PasswordNotRequired","MemberOf","SID","ScriptPath","HomeDrive","Notes","ImageIndex"
"Guest","False","/Users","False","False","1/28/2020 7:53:25 PM","6/28/2020 11:12:29 PM","No TimeStamp","No TimeStamp","0","False","True","True","CN=Guests,CN=Builtin,DC=MobileLab,DC=home","S-1-5-21-3036625279-3127291219-2495432101-501","No Script Path","No Home Drive",,"2"
"krbtgt","False","/Users","False","False","01/28/2020 19:55:07","06/28/2020 23:12:29","No TimeStamp","No TimeStamp","0","True","False","False","System.Windows.Forms.ComboBox+ObjectCollection","S-1-5-21-3036625279-3127291219-2495432101-502","No Script Path","No Home Drive",,"53"
"Administrator","True","/Users","False","False","1/28/2020 7:53:25 PM","9/17/2021 9:12:37 PM","9/17/2021 9:12:37 PM","6/27/2021 9:47:17 PM","0","False","True","False","System.Windows.Forms.ComboBox+ObjectCollection","S-1-5-21-3036625279-3127291219-2495432101-500","No Script Path","No Home Drive","","52"
"admin","True","/East Coast Employees","False","False","4/15/2020 5:10:02 PM","5/17/2021 12:37:12 AM","3/23/2021 12:17:19 AM","No TimeStamp","0","False","True","False","CN=Message Capture Users,CN=Users,DC=MobileLab,DC=home
CN=Performance Log Users,CN=Builtin,DC=MobileLab,DC=home
CN=Administrators,CN=Builtin,DC=MobileLab,DC=home","S-1-5-21-3036625279-3127291219-2495432101-1135","No Script Path","No Home Drive",,"2"
"user","True","/West Coast Employees","False","False","4/15/2020 5:01:43 PM","5/17/2021 12:36:51 AM","5/7/2021 12:23:03 AM","No TimeStamp","0","False","True","False","","S-1-5-21-3036625279-3127291219-2495432101-1134","No Script Path","No Home Drive",,"2"
"Dan","True","/East Coast Employees","False","False","1/29/2020 7:54:03 PM","9/19/2021 4:31:58 PM","9/19/2021 4:31:58 PM","8/29/2021 4:34:16 PM","0","False","True","False","CN=Administrators,CN=Builtin,DC=MobileLab,DC=home
CN=Domain Admins,CN=Users,DC=MobileLab,DC=home
CN=Remote Desktop Users,CN=Builtin,DC=MobileLab,DC=home
CN=Users,CN=Builtin,DC=MobileLab,DC=home","S-1-5-21-3036625279-3127291219-2495432101-1117","No Script Path","No Home Drive","","30"
"test002","False","/West Coast Employees","False","False","6/6/2020 7:44:49 PM","5/17/2021 12:36:51 AM","No TimeStamp","No TimeStamp","0","True","False","False","","S-1-5-21-3036625279-3127291219-2495432101-1393","No Script Path","No Home Drive",,"2"
"test001","False","/West Coast Employees","False","False","6/6/2020 7:44:46 PM","5/17/2021 12:36:51 AM","No TimeStamp","No TimeStamp","0","True","False","False","","S-1-5-21-3036625279-3127291219-2495432101-1392","No Script Path","No Home Drive",,"2"
"SmartCardAccount","True","/West Coast Employees","False","True","2/22/2021 2:34:11 AM","5/17/2021 12:36:51 AM","No TimeStamp","No TimeStamp","0","False","False","False","","S-1-5-21-3036625279-3127291219-2495432101-2613","No Script Path","No Home Drive",,"2"
"BadLoginAccount","True","/East Coast Employees","False","False","2/22/2021 2:36:16 AM","5/17/2021 12:37:12 AM","2/22/2021 2:38:00 AM","2/22/2021 2:37:57 AM","0","False","True","False","","S-1-5-21-3036625279-3127291219-2495432101-2614","No Script Path","No Home Drive",,"2"
"LockedOne","False","/East Coast Employees","False","False","2/22/2021 2:38:43 AM","5/17/2021 12:37:12 AM","No TimeStamp","No TimeStamp","0","True","False","False","","S-1-5-21-3036625279-3127291219-2495432101-2615","No Script Path","No Home Drive",,"2"
"LockedTwo","False","/West Coast Employees","False","False","2/22/2021 2:39:18 AM","5/17/2021 12:36:51 AM","No TimeStamp","No TimeStamp","0","True","False","False","","S-1-5-21-3036625279-3127291219-2495432101-2616","No Script Path","No Home Drive",,"2"
"danny","True","/East Coast Employees","False","False","3/23/2021 12:15:43 AM","5/17/2021 12:37:12 AM","4/4/2021 12:55:13 AM","No TimeStamp","0","False","True","False","CN=Domain Admins,CN=Users,DC=MobileLab,DC=home","S-1-5-21-3036625279-3127291219-2495432101-2617","No Script Path","No Home Drive",,"2"
