"Name","OperatingSystem","CanonicalName","IPv4Address","MACAddress","Notes"
"WSUS","Windows Server 2012 R2 Datacenter","/Servers/Administrative","10.10.10.23","No MAC Available","No Notes Available"
"APP","Windows Server 2012 R2 Datacenter","/Servers/Administrative","10.10.10.22","No MAC Available","No Notes Available"
"DC2","Windows Server 2012 R2 Datacenter","/Domain Controllers","10.10.10.21","No MAC Available","No Notes Available"
"WINXP-01","Windows XP Professional","/Europe Branch/Remote Support","10.10.10.105","No MAC Available","No Notes Available"
"FILE","Windows Server 2012 R2 Datacenter","/Servers/Business","10.10.10.104","No MAC Available","No Notes Available"
"WIN10-01","Windows 10 Enterprise Evaluation","/US Branch/Employee","10.10.10.105","No MAC Available","No Notes Available"
"WIN10-03","Windows 10 Enterprise Evaluation","/US Branch/Employee","10.10.10.114","No MAC Available","No Notes Available"
"WIN10-04","Windows 10 Enterprise Evaluation","/US Branch/Employee","10.10.10.112","No MAC Available","No Notes Available"
"WIN10-05","Windows 10 Enterprise Evaluation","/US Branch/Employee","10.10.10.115","No MAC Available","No Notes Available"
"WIN10-02","Windows 10 Enterprise Evaluation","/US Branch/Employee","10.10.10.107","No MAC Available","No Notes Available"
"WIN2019-01","Windows Server 2019 Standard Evaluation","/Computers","10.10.10.115","No MAC Available","No Notes Available"
"WIN81-01","Windows 8.1 Pro","/US Branch/Management","10.10.10.100","No MAC Available","No Notes Available"
"WIN81-03","Windows 8.1 Pro","/US Branch/Guest","10.10.10.102","No MAC Available","No Notes Available"
"WIN81-02","Windows 8.1 Pro","/US Branch/Management","10.10.10.101","No MAC Available","No Notes Available"
"WIN81-04","Windows 8.1 Pro","/US Branch/Employee","10.10.10.103","No MAC Available","No Notes Available"
"WIN81-09A","Windows 8.1 Pro","/US Branch/Employee","10.10.10.111","No MAC Available","No Notes Available"
"Win81-08","Windows 8.1 Pro","/US Branch/Employee","10.10.10.110","No MAC Available","No Notes Available"
"Win81-07","Windows 8.1 Pro","/US Branch/Employee","10.10.10.109","No MAC Available","No Notes Available"
"WIN81-06A","Windows 8.1 Pro","/US Branch/Employee","10.10.10.108","No MAC Available","No Notes Available"
"WIN81-05A","Windows 8.1 Pro","/US Branch/Employee","10.10.10.100","No MAC Available","No Notes Available"
"WIN81-10","Windows 8.1 Pro","/US Branch/Employee","10.10.10.116","No MAC Available","No Notes Available"
"WIN81-09","Windows 8.1 Pro","/Computers","10.10.10.111","No MAC Available","No Notes Available"
"WIN81-06","Windows 8.1 Pro","/Computers","10.10.10.108","No MAC Available","No Notes Available"
"WIN81-05","Windows 8.1 Pro","/Computers","10.10.10.113","No MAC Available","No Notes Available"
